event_id,date_utc,stage,group,venue,home_team,away_team,home_abbr,away_abbr,home_goals,away_goals,scoreline_home,total_goals,ht_home_goals,ht_away_goals,halftime_score_home,halftime_result_home,full_result_home,ht_ft_home,source
760430,2026-06-16T22:00Z,group-stage,,Gillette Stadium,Iraq,Norway,IRQ,NOR,1,4,1-4,5,1,2,1-2,负,负,负负,ESPN public API
760433,2026-06-17T01:00Z,group-stage,,GEHA Field at Arrowhead Stadium,Argentina,Algeria,ARG,ALG,3,0,3-0,3,1,0,1-0,胜,胜,胜胜,ESPN public API
760431,2026-06-17T04:00Z,group-stage,,Levi's Stadium,Austria,Jordan,AUT,JOR,3,1,3-1,4,1,0,1-0,胜,胜,胜胜,ESPN public API
760435,2026-06-17T17:00Z,group-stage,,NRG Stadium,Portugal,Congo DR,POR,COD,1,1,1-1,2,1,1,1-1,平,平,平平,ESPN public API
760437,2026-06-17T20:00Z,group-stage,,AT&T Stadium,England,Croatia,ENG,CRO,4,2,4-2,6,2,2,2-2,平,胜,平胜,ESPN public API
760434,2026-06-17T23:00Z,group-stage,,BMO Field,Ghana,Panama,GHA,PAN,1,0,1-0,1,0,0,0-0,平,胜,平胜,ESPN public API
760436,2026-06-18T02:00Z,group-stage,,Estadio Banorte,Uzbekistan,Colombia,UZB,COL,1,3,1-3,4,0,1,0-1,负,负,负负,ESPN public API
760438,2026-06-18T16:00Z,group-stage,,Mercedes-Benz Stadium,Czechia,South Africa,CZE,RSA,1,1,1-1,2,1,0,1-0,胜,平,胜平,ESPN public API
760439,2026-06-18T19:00Z,group-stage,,SoFi Stadium,Switzerland,Bosnia-Herzegovina,SUI,BIH,4,1,4-1,5,0,0,0-0,平,胜,平胜,ESPN public API
760440,2026-06-18T22:00Z,group-stage,,BC Place,Canada,Qatar,CAN,QAT,6,0,6-0,6,3,0,3-0,胜,胜,胜胜,ESPN public API
760441,2026-06-19T01:00Z,group-stage,,Estadio Akron,Mexico,South Korea,MEX,KOR,1,0,1-0,1,0,0,0-0,平,胜,平胜,ESPN public API
760442,2026-06-19T19:00Z,group-stage,,Lumen Field,United States,Australia,USA,AUS,2,0,2-0,2,2,0,2-0,胜,胜,胜胜,ESPN public API
760445,2026-06-19T22:00Z,group-stage,,Gillette Stadium,Scotland,Morocco,SCO,MAR,0,1,0-1,1,0,1,0-1,负,负,负负,ESPN public API
760444,2026-06-20T00:30Z,group-stage,,Lincoln Financial Field,Brazil,Haiti,BRA,HAI,3,0,3-0,3,3,0,3-0,胜,胜,胜胜,ESPN public API
760443,2026-06-20T03:00Z,group-stage,,Levi's Stadium,Türkiye,Paraguay,TUR,PAR,0,1,0-1,1,0,1,0-1,负,负,负负,ESPN public API
760447,2026-06-20T17:00Z,group-stage,,NRG Stadium,Netherlands,Sweden,NED,SWE,5,1,5-1,6,2,0,2-0,胜,胜,胜胜,ESPN public API
760448,2026-06-20T20:00Z,group-stage,,BMO Field,Germany,Ivory Coast,GER,CIV,2,1,2-1,3,0,1,0-1,负,胜,负胜,ESPN public API
760446,2026-06-21T00:00Z,group-stage,,GEHA Field at Arrowhead Stadium,Ecuador,Curaçao,ECU,CUW,0,0,0-0,0,0,0,0-0,平,平,平平,ESPN public API
760449,2026-06-21T04:00Z,group-stage,,Estadio BBVA,Tunisia,Japan,TUN,JPN,0,4,0-4,4,0,2,0-2,负,负,负负,ESPN public API
760453,2026-06-21T16:00Z,group-stage,,Mercedes-Benz Stadium,Spain,Saudi Arabia,ESP,KSA,4,0,4-0,4,3,0,3-0,胜,胜,胜胜,ESPN public API
760451,2026-06-21T19:00Z,group-stage,,SoFi Stadium,Belgium,Iran,BEL,IRN,0,0,0-0,0,0,0,0-0,平,平,平平,ESPN public API
760450,2026-06-21T22:00Z,group-stage,,Hard Rock Stadium,Uruguay,Cape Verde,URU,CPV,2,2,2-2,4,2,1,2-1,胜,平,胜平,ESPN public API
760452,2026-06-22T01:00Z,group-stage,,BC Place,New Zealand,Egypt,NZL,EGY,1,3,1-3,4,1,0,1-0,胜,负,胜负,ESPN public API
760456,2026-06-22T17:00Z,group-stage,,AT&T Stadium,Argentina,Austria,ARG,AUT,2,0,2-0,2,1,0,1-0,胜,胜,胜胜,ESPN public API
760457,2026-06-22T21:00Z,group-stage,,Lincoln Financial Field,France,Iraq,FRA,IRQ,3,0,3-0,3,1,0,1-0,胜,胜,胜胜,ESPN public API
760454,2026-06-23T00:00Z,group-stage,,MetLife Stadium,Norway,Senegal,NOR,SEN,3,2,3-2,5,1,0,1-0,胜,胜,胜胜,ESPN public API
760455,2026-06-23T03:00Z,group-stage,,Levi's Stadium,Jordan,Algeria,JOR,ALG,1,2,1-2,3,1,0,1-0,胜,负,胜负,ESPN public API
760461,2026-06-23T17:00Z,group-stage,,NRG Stadium,Portugal,Uzbekistan,POR,UZB,5,0,5-0,5,3,0,3-0,胜,胜,胜胜,ESPN public API
760458,2026-06-23T20:00Z,group-stage,,Gillette Stadium,England,Ghana,ENG,GHA,0,0,0-0,0,0,0,0-0,平,平,平平,ESPN public API
760460,2026-06-23T23:00Z,group-stage,,BMO Field,Panama,Croatia,PAN,CRO,0,1,0-1,1,0,0,0-0,平,负,平负,ESPN public API
760459,2026-06-24T02:00Z,group-stage,,Estadio Akron,Colombia,Congo DR,COL,COD,1,0,1-0,1,0,0,0-0,平,胜,平胜,ESPN public API
760462,2026-06-24T19:00Z,group-stage,,Lumen Field,Bosnia-Herzegovina,Qatar,BIH,QAT,3,1,3-1,4,2,1,2-1,胜,胜,胜胜,ESPN public API
760463,2026-06-24T19:00Z,group-stage,,BC Place,Switzerland,Canada,SUI,CAN,2,1,2-1,3,0,0,0-0,平,胜,平胜,ESPN public API
760464,2026-06-24T22:00Z,group-stage,,Mercedes-Benz Stadium,Morocco,Haiti,MAR,HAI,4,2,4-2,6,2,2,2-2,平,胜,平胜,ESPN public API
760465,2026-06-24T22:00Z,group-stage,,Hard Rock Stadium,Scotland,Brazil,SCO,BRA,0,3,0-3,3,0,2,0-2,负,负,负负,ESPN public API
760466,2026-06-25T01:00Z,group-stage,,Estadio BBVA,South Africa,South Korea,RSA,KOR,1,0,1-0,1,0,0,0-0,平,胜,平胜,ESPN public API
760467,2026-06-25T01:00Z,group-stage,,Estadio Banorte,Czechia,Mexico,CZE,MEX,0,3,0-3,3,0,0,0-0,平,负,平负,ESPN public API
